web-scraper-order,web-scraper-start-url,types_habits,prix,adresse,image_lien-src
"1752096583-14","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures pour enfant","13 000CFA","","https://images.coinafrique.com/thumb_884530_uploaded_image1_1566983419.29.png"
"1752096583-15","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","7 500CFA","Cambérène, Dakar, Sénégal",""
"1752096583-16","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","7 500CFA","","https://images.coinafrique.com/thumb_878809_uploaded_image1_1566841399.24.png"
"1752096583-17","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","7 500CFA","Sénégal",""
"1752096583-18","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","7 500CFA","","https://images.coinafrique.com/thumb_878800_uploaded_image1_1566841283.51.png"
"1752096583-19","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Ensemble talon","15 000CFA","Cambérène, Dakar, Sénégal",""
"1752096583-20","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Ensemble talon","15 000CFA","","https://images.coinafrique.com/thumb_861833_uploaded_image1_1566391948.31.png"
"1752096583-21","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","6 000CFA","Les Parcelles Assainies, Dakar, Sénégal",""
"1752096583-22","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","6 000CFA","","https://images.coinafrique.com/thumb_854221_uploaded_image1_1566227990.03.png"
"1752096583-23","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","8 500CFA","Cambérène, Dakar, Sénégal",""
"1752096583-24","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","8 500CFA","","https://images.coinafrique.com/thumb_848875_uploaded_image1_1566050610.48.png"
