types_habits,prix,adresse,image_lien-src
Tapettes  Hermès,17 500CFA,"Colobane, Dakar, Sénégal",Rien
Tapettes  Hermès,17 500CFA,Rien,https://images.coinafrique.com/thumb_4992100_uploaded_image1_1728860780.jpg
Tapettes Lanvin,25 000CFA,"Colobane, Dakar, Sénégal",Rien
Tapettes Lanvin,25 000CFA,Rien,https://images.coinafrique.com/thumb_4992103_uploaded_image1_1728861058.jpg
Sandale birkenstock,30 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",Rien
Sandale birkenstock,30 000CFA,Rien,https://images.coinafrique.com/thumb_4989259_uploaded_image1_1728672859.jpg
Baskets Nike TN,15 000CFA,"Fass, Dakar, Sénégal",Rien
Baskets Nike TN,15 000CFA,Rien,https://images.coinafrique.com/thumb_5035383_uploaded_image1_1731158367.jpg
Baskets Adidas,15 000CFA,"Fass, Dakar, Sénégal",Rien
Baskets Adidas,15 000CFA,Rien,https://images.coinafrique.com/thumb_5035381_uploaded_image1_1731158223.jpg
Baskets Jordan One,15 000CFA,"Fass, Dakar, Sénégal",Rien
Baskets Jordan One,15 000CFA,Rien,https://images.coinafrique.com/thumb_5034410_uploaded_image1_1731091587.jpg
Baskets Adidas,15 000CFA,"Colobane, Dakar, Sénégal",Rien
Baskets Adidas,15 000CFA,Rien,https://images.coinafrique.com/thumb_5028372_uploaded_image1_1730823615.jpg
Chaussures homme,Prix sur demande,"Diamalaye 1, Dakar, Sénégal",Rien
Chaussures homme,Prix sur demande,Rien,https://images.coinafrique.com/thumb_5028319_uploaded_image1_1730822208.jpg
Chaussures Berluti,20 000CFA,"Grand Yoff, Dakar, Sénégal",Rien
Chaussures Berluti,20 000CFA,Rien,https://images.coinafrique.com/thumb_5026877_uploaded_image1_1730750286.jpg
Chaussures homme,20 000CFA,"Grand Yoff, Dakar, Sénégal",Rien
Chaussures homme,20 000CFA,Rien,https://images.coinafrique.com/thumb_5026875_uploaded_image1_1730750195.jpg
Baskets Reebok vibrom luis vuitton,30 000CFA,"Colobane, Dakar, Sénégal",Rien
Baskets Reebok vibrom luis vuitton,30 000CFA,Rien,https://images.coinafrique.com/thumb_5026279_uploaded_image1_1730726813.jpg
Chaussures homme,Prix sur demande,"Diamalaye 1, Dakar, Sénégal",Rien
Chaussures homme,Prix sur demande,Rien,https://images.coinafrique.com/thumb_5021636_uploaded_image1_1730472276.jpg
Baskets Nike,20 000CFA,"Colobane, Dakar, Sénégal",Rien
Baskets Nike,20 000CFA,Rien,https://images.coinafrique.com/thumb_5020644_uploaded_image1_1730419748.jpg
Baskets Adidas samba,25 000CFA,"Colobane, Dakar, Sénégal",Rien
Baskets Adidas samba,25 000CFA,Rien,https://images.coinafrique.com/thumb_5020639_uploaded_image1_1730419594.jpg
Baskets Adidas,20 000CFA,"Colobane, Dakar, Sénégal",Rien
Baskets Adidas,20 000CFA,Rien,https://images.coinafrique.com/thumb_5020636_uploaded_image1_1730419393.jpg
Baskets Dior GD,25 000CFA,"Colobane, Dakar, Sénégal",Rien
Baskets Dior GD,25 000CFA,Rien,https://images.coinafrique.com/thumb_4976666_uploaded_image1_1728034701.jpg
Chausures Nike Air max Dn,25 000CFA,"Colobane, Dakar, Sénégal",Rien
Chausures Nike Air max Dn,25 000CFA,Rien,https://images.coinafrique.com/thumb_4976673_uploaded_image1_1728034836.jpg
Chaussures New Balance 9060,27 500CFA,"Colobane, Dakar, Sénégal",Rien
Chaussures New Balance 9060,27 500CFA,Rien,https://images.coinafrique.com/thumb_4976646_uploaded_image1_1728034007.jpg
Chaussures en daim,15 000CFA,"Colobane, Dakar, Sénégal",Rien
Chaussures en daim,15 000CFA,Rien,https://images.coinafrique.com/thumb_4976650_uploaded_image1_1728034138.jpg
Chaussures Air Jordan 11 Retro cool GREY,20 000CFA,"Colobane, Dakar, Sénégal",Rien
Chaussures Air Jordan 11 Retro cool GREY,20 000CFA,Rien,https://images.coinafrique.com/thumb_4976636_uploaded_image1_1728033842.jpg
Chaussures  Timberland,20 000CFA,"Colobane, Dakar, Sénégal",Rien
Chaussures  Timberland,20 000CFA,Rien,https://images.coinafrique.com/thumb_4976618_uploaded_image1_1728033398.jpg
Chaussures Adidas X korn campus OOS,25 000CFA,"Colobane, Dakar, Sénégal",Rien
Chaussures Adidas X korn campus OOS,25 000CFA,Rien,https://images.coinafrique.com/thumb_4976607_uploaded_image1_1728033224.jpg
Chaussures Adidas Campus,25 000CFA,"Colobane, Dakar, Sénégal",Rien
Chaussures Adidas Campus,25 000CFA,Rien,https://images.coinafrique.com/thumb_4976628_uploaded_image1_1728033522.jpg
Chaussures Louis Vuitton X Nike Air Force  points,20 000CFA,"Colobane, Dakar, Sénégal",Rien
Chaussures Louis Vuitton X Nike Air Force  points,20 000CFA,Rien,https://images.coinafrique.com/thumb_4976602_uploaded_image1_1728033007.jpg
Chaussures  Gucci,25 000CFA,"Colobane, Dakar, Sénégal",Rien
Chaussures  Gucci,25 000CFA,Rien,https://images.coinafrique.com/thumb_4976586_uploaded_image1_1728032700.jpg
Disponible point 40 jusqua 46,20 000CFA,"Colobane, Dakar, Sénégal",Rien
Disponible point 40 jusqua 46,20 000CFA,Rien,https://images.coinafrique.com/thumb_4976564_uploaded_image1_1728032007.jpg
Chaussures Louis Vuitton fW,20 000CFA,"Colobane, Dakar, Sénégal",Rien
Chaussures Louis Vuitton fW,20 000CFA,Rien,https://images.coinafrique.com/thumb_4976572_uploaded_image1_1728032284.jpg
