types_habits,prix,adresse,image_lien-src
Body bébé,10 000CFA,Rien,https://images.coinafrique.com/thumb_3067317_uploaded_image1_1618813231.jpg
Grenouillère bébé,3 000CFA,"Rufisque, Sénégal",Rien
Grenouillère bébé,3 000CFA,Rien,https://images.coinafrique.com/thumb_3067315_uploaded_image1_1618813047.jpg
Ensemble enfant,7 000CFA,"HLM, Dakar, Sénégal",Rien
Ensemble enfant,7 000CFA,Rien,https://images.coinafrique.com/thumb_3061627_uploaded_image1_1618503756.jpg
Ensemble vêtement enfant,7 000CFA,"HLM, Dakar, Sénégal",Rien
Ensemble vêtement enfant,7 000CFA,Rien,https://images.coinafrique.com/thumb_3061615_uploaded_image1_1618503481.jpg
Ensemble bébé,7 000CFA,"HLM, Dakar, Sénégal",Rien
Ensemble bébé,7 000CFA,Rien,https://images.coinafrique.com/thumb_3061601_uploaded_image1_1618503055.jpg
Lacoste enfant,5 000CFA,"Dakar, Sénégal",Rien
Lacoste enfant,5 000CFA,Rien,https://images.coinafrique.com/thumb_3057300_uploaded_image1_1618332021.jpg
Pantalon enfant,3 000CFA,"Colobane, Dakar, Sénégal",Rien
Pantalon enfant,3 000CFA,Rien,https://images.coinafrique.com/thumb_3056602_uploaded_image1_1618315072.jpg
Vêtements enfants,3 000CFA,"Colobane, Dakar, Sénégal",Rien
Vêtements enfants,3 000CFA,Rien,https://images.coinafrique.com/thumb_3056595_uploaded_image1_1618314916.jpg
Pantalon enfant,2 500CFA,"Colobane, Dakar, Sénégal",Rien
Pantalon enfant,2 500CFA,Rien,https://images.coinafrique.com/thumb_3056588_uploaded_image1_1618314847.jpg
Robe enfant,3 000CFA,"Colobane, Dakar, Sénégal",Rien
Robe enfant,3 000CFA,Rien,https://images.coinafrique.com/thumb_3056583_uploaded_image1_1618314776.jpg
Robe enfant,2 000CFA,"Colobane, Dakar, Sénégal",Rien
Robe enfant,2 000CFA,Rien,https://images.coinafrique.com/thumb_3056578_uploaded_image1_1618314619.jpg
T-shirt enfant,2 000CFA,"Colobane, Dakar, Sénégal",Rien
T-shirt enfant,2 000CFA,Rien,https://images.coinafrique.com/thumb_3056575_uploaded_image1_1618314552.jpg
Vêtement enfant,3 000CFA,"Colobane, Dakar, Sénégal",Rien
Vêtement enfant,3 000CFA,Rien,https://images.coinafrique.com/thumb_3056574_uploaded_image1_1618314483.jpg
Ensemble blouson enfant,6 500CFA,"Dieuppeul-Derklé, Dakar, Sénégal",Rien
Ensemble blouson enfant,6 500CFA,Rien,https://images.coinafrique.com/thumb_3053772_uploaded_image1_1618187520.jpg
T-shirt enfant,10 000CFA,"Dakar, Sénégal",Rien
T-shirt enfant,10 000CFA,Rien,https://images.coinafrique.com/thumb_3051993_uploaded_image1_1618077955.jpg
Ensemble  body et collant,2 500CFA,"Ouakam, Dakar, Sénégal",Rien
Ensemble  body et collant,2 500CFA,Rien,https://images.coinafrique.com/thumb_3043879_uploaded_image1_1617740872.jpg
Vêtements enfants,500CFA,"Ouakam, Dakar, Sénégal",Rien
Vêtements enfants,500CFA,Rien,https://images.coinafrique.com/thumb_3041195_uploaded_image1_1617633853.jpg
Vêtements enfants,1 000CFA,"Ouakam, Dakar, Sénégal",Rien
Vêtements enfants,1 000CFA,Rien,https://images.coinafrique.com/thumb_3041189_uploaded_image1_1617633624.jpg
Ensembles pour enfants,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",Rien
Ensembles pour enfants,Prix sur demande,Rien,https://images.coinafrique.com/thumb_3038305_uploaded_image1_1617474792.jpg
Set de baptême,15 000CFA,"Dakar, Sénégal",Rien
Set de baptême,15 000CFA,Rien,https://images.coinafrique.com/thumb_3038303_uploaded_image1_1617474759.jpg
Ensemble enfants,15 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",Rien
Ensemble enfants,15 000CFA,Rien,https://images.coinafrique.com/thumb_3038014_uploaded_image1_1617463542.jpg
Vêtements enfants,15 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",Rien
Vêtements enfants,15 000CFA,Rien,https://images.coinafrique.com/thumb_3038010_uploaded_image1_1617463363.jpg
Ensemble enfant,15 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",Rien
Ensemble enfant,15 000CFA,Rien,https://images.coinafrique.com/thumb_3037998_uploaded_image1_1617463131.jpg
Grenouillère,1 000CFA,"Ouakam, Dakar, Sénégal",Rien
Grenouillère,1 000CFA,Rien,https://images.coinafrique.com/thumb_3037698_uploaded_image1_1617454183.jpg
Body enfant,500CFA,"Ouakam, Dakar, Sénégal",Rien
Body enfant,500CFA,Rien,https://images.coinafrique.com/thumb_3037697_uploaded_image1_1617454125.jpg
Ensembles enfant + chapeau,1 500CFA,"Ouakam, Dakar, Sénégal",Rien
Ensembles enfant + chapeau,1 500CFA,Rien,https://images.coinafrique.com/thumb_3037692_uploaded_image1_1617454021.jpg
Ensemble enfant,2 500CFA,"Ouakam, Dakar, Sénégal",Rien
Ensemble enfant,2 500CFA,Rien,https://images.coinafrique.com/thumb_3037689_uploaded_image1_1617453933.jpg
Ensemble bébé,9 000CFA,"HLM, Dakar, Sénégal",Rien
Ensemble bébé,9 000CFA,Rien,https://images.coinafrique.com/thumb_3035855_uploaded_image1_1617379859.jpg
Ensemble blouson enfant,8 000CFA,"Parcelle Assainies, Dakar, Sénégal",Rien
Ensemble blouson enfant,8 000CFA,Rien,https://images.coinafrique.com/thumb_3035799_uploaded_image2_1617378839.jpeg
Barboteuse,1 000CFA,"Ouakam, Dakar, Sénégal",Rien
Barboteuse,1 000CFA,Rien,https://images.coinafrique.com/thumb_3033102_uploaded_image1_1617286526.jpg
Ensemble enfant,2 000CFA,"Ouakam, Dakar, Sénégal",Rien
Ensemble enfant,2 000CFA,Rien,https://images.coinafrique.com/thumb_3033057_uploaded_image1_1617285824.jpg
Robe fille,11 500CFA,"HLM, Dakar, Sénégal",Rien
